question_text;option_1;option_2;option_3;option_4;correct_answer;language;link_id;subject;topic;bloom_level
Cheyne-Stokes breathing features what pattern?;Central apneas with normal breathing;Upper airway repeated collapse;Constant tidal volume breathing;Rapid shallow respiratory rate;Central apneas with normal breathing;en;RESP_1;Respiratory Physiology;Légzés (Bloom 1);1
Milyen mintázat jellemzi a Cheyne-Stokes-légzést?;Központi apnoék normál légzéssel váltakozva;A felsõ légutak ismételt összeomlása;Állandó légzési térfogatú légzés;Gyors, felületes légzési frekvencia;Központi apnoék normál légzéssel váltakozva;hu;RESP_1;Respiratory Physiology;Légzés (Bloom 1);1
During sleep, Cheyne-Stokes apneic episodes compared to awake?;Shorter lasting and less frequent;Longer lasting and more frequent;Same duration and frequency;Completely absent at night;Longer lasting and more frequent;en;RESP_2;Respiratory Physiology;Légzés (Bloom 1);1
Alvás közben a Cheyne-Stokes apnoés epizódok milyenek az éber állapothoz képest?;Rövidebb ideig tartanak és kevésbé gyakoriak;Hosszabb ideig tartanak és gyakoribbak;Ugyanolyan idõtartamúak és gyakoriságúak;Éjszaka teljesen hiányoznak;Hosszabb ideig tartanak és gyakoribbak;hu;RESP_2;Respiratory Physiology;Légzés (Bloom 1);1
In heart failure patients, Cheyne-Stokes apneic episodes typically last?;10 to 30 seconds;Less than 10 seconds;30 to 60 seconds;Over 60 seconds;10 to 30 seconds;en;RESP_3;Respiratory Physiology;Légzés (Bloom 1);1
Szívelégtelenségben szenvedõ betegeknél a Cheyne-Stokes apnoés epizódok jellemzõen meddig tartanak?;10-30 másodpercig;Kevesebb mint 10 másodpercig;30-60 másodpercig;Több mint 60 másodpercig;10-30 másodpercig;hu;RESP_3;Respiratory Physiology;Légzés (Bloom 1);1
Cheyne-Stokes episodes in heart failure followed by what tidal volumes?;Constant level volumes;Decreasing steady volumes;Crescendo-decrescendo pattern;Absent respiratory volumes;Crescendo-decrescendo pattern;en;RESP_4;Respiratory Physiology;Légzés (Bloom 1);1
Milyen légzési volumenváltakozás követi a Cheyne-Stokes epizódokat szívelégtelenségben?;Állandó szintû volumenek;Folyamatosan csökkenõ volumenek;Crescendo-decrescendo mintázat;Hiányzó légzési volumenek;Crescendo-decrescendo mintázat;hu;RESP_4;Respiratory Physiology;Légzés (Bloom 1);1
Upper airway during apneic episodes in obstructive sleep apnea?;Tends to stay open;Always fully collapses;Increases in muscle tone;Generates positive pressure;Tends to stay open;en;RESP_5;Respiratory Physiology;Légzés (Bloom 1);1
Mi jellemzi a felsõ légutakat obstruktív alvási apnoéban az apnoés epizódok alatt?;Hajlamosak nyitva maradni;Mindig teljesen összeomlanak;Nõ az izomtónusuk;Pozitív nyomást generálnak;Hajlamosak nyitva maradni;hu;RESP_5;Respiratory Physiology;Légzés (Bloom 1);1
Obstructive sleep apnea most common in which patients?;Obese individuals;Young thin females;Elderly slim males;Pediatric populations;Obese individuals;en;RESP_6;Respiratory Physiology;Légzés (Bloom 1);1
Melyik betegcsoportban a leggyakoribb az obstruktív alvási apnoé?;Elhízott egyének;Fiatal, vékony nõk;Idõs, karcsú férfiak;Gyermekgyógyászati populációk;Elhízott egyének;hu;RESP_6;Respiratory Physiology;Légzés (Bloom 1);1
One risk factor explicitly listed for obstructive sleep apnea?;Male gender;Small neck circumference;Age younger than 65;No family history;Male gender;en;RESP_7;Respiratory Physiology;Légzés (Bloom 1);1
Mi az obstruktív alvási apnoé egyik kifejezett kockázati tényezõje?;Férfi nem;Kis nyakkörfogat;65 évnél fiatalabb életkor;Nincs családi kórtörténet;Férfi nem;hu;RESP_7;Respiratory Physiology;Légzés (Bloom 1);1
Prevalence of OSA in women older than 65 years?;2 to 4 percent;4 to 9 percent;Less than 2 percent;Greater than 10 percent;2 to 4 percent;en;RESP_8;Respiratory Physiology;Légzés (Bloom 1);1
Mekkora az OSA prevalenciája a 65 évnél idõsebb nõk körében?;2-4 százalék;4-9 százalék;Kevesebb mint 2 százalék;Több mint 10 százalék;2-4 százalék;hu;RESP_8;Respiratory Physiology;Légzés (Bloom 1);1
Prevalence of OSA in men older than 65 years?;2 to 4 percent;4 to 9 percent;Less than 2 percent;Over 10 percent;4 to 9 percent;en;RESP_9;Respiratory Physiology;Légzés (Bloom 1);1
Mekkora az OSA prevalenciája a 65 évnél idõsebb férfiak körében?;2-4 százalék;4-9 százalék;Kevesebb mint 2 százalék;Több mint 10 százalék;4-9 százalék;hu;RESP_9;Respiratory Physiology;Légzés (Bloom 1);1
Cheyne-Stokes breathing also called?;Central sleep apnea;Obstructive apnea syndrome;Mixed respiratory disorder;Hypopnea breathing pattern;Central sleep apnea;en;RESP_10;Respiratory Physiology;Légzés (Bloom 1);1
Más néven hogyan hívják a Cheyne-Stokes-légzést?;Centrális alvási apnoé;Obstruktív apnoé szindróma;Vegyes légzési rendellenesség;Hypopnoe légzési mintázat;Centrális alvási apnoé;hu;RESP_10;Respiratory Physiology;Légzés (Bloom 1);1
Obstructive sleep apnea caused by reduced tone in what muscles?;Pharyngeal dilator muscles;Diaphragmatic respiratory muscles;Intercostal accessory muscles;Abdominal expiratory muscles;Pharyngeal dilator muscles;en;RESP_11;Respiratory Physiology;Légzés (Bloom 1);1
Mely izmok csökkent tónusa okozza az obstruktív alvási apnoét?;Garatfeszítõ izmok;Rekeszizom (légzõizom);Bordaközi segédizmok;Hasi kilégzõizmok;Garatfeszítõ izmok;hu;RESP_11;Respiratory Physiology;Légzés (Bloom 1);1
Negative pressure in OSA generated by what?;Respiratory efforts against occlusion;Passive airway muscle relaxation;Increased intrathoracic pressure;Reduced diaphragmatic contraction;Respiratory efforts against occlusion;en;RESP_12;Respiratory Physiology;Légzés (Bloom 1);1
Mi hozza létre a negatív nyomást OSA-ban?;Az elzáródás elleni légzési erõfeszítések;A légúti izmok passzív ellazulása;Megnövekedett intrathoracalis nyomás;Csökkent rekeszizom-összehúzódás;Az elzáródás elleni légzési erõfeszítések;hu;RESP_12;Respiratory Physiology;Légzés (Bloom 1);1
One other OSA risk factor besides obesity?;Large neck circumference;Small jaw structure;Low body mass index;Frequent exercise routine;Large neck circumference;en;RESP_13;Respiratory Physiology;Légzés (Bloom 1);1
Mi az OSA másik kockázati tényezõje az elhízáson kívül?;Nagy nyakkörfogat;Kis állkapocsszerkezet;Alacsony testtömeg-index;Gyakori edzés;Nagy nyakkörfogat;hu;RESP_13;Respiratory Physiology;Légzés (Bloom 1);1
Table 3.1 lists what as consequence of brain hypoxia?;Chronic hypercapnia;Unsteady myocardial death;Left ventricular failure;Behavioral dysfunction;Unsteady myocardial death;en;RESP_14;Respiratory Physiology;Légzés (Bloom 1);1
A 3.1-es táblázat mit sorol fel az agyi hypoxia következményeként?;Krónikus hypercapnia;Instabil szívizomelhalás;Bal kamrai elégtelenség;Viselkedési zavar;Instabil szívizomelhalás;hu;RESP_14;Respiratory Physiology;Légzés (Bloom 1);1
Fig 3.1 shows obstructive sleep apnea with what feature?;Central respiratory drive;Decreasing stroke volume;Heart failure loop;Catecholamine activity;Decreasing stroke volume;en;RESP_15;Respiratory Physiology;Légzés (Bloom 1);1
A 3.1-es ábra milyen jellemzõvel mutatja be az obstruktív alvási apnoét?;Centrális légzési inger;Csökkenõ lökettérfogat;Szívelégtelenségi hurok;Katekolamin aktivitás;Csökkenõ lökettérfogat;hu;RESP_15;Respiratory Physiology;Légzés (Bloom 1);1
Hypopnea defined as what airflow reduction?;To gains back level;Equal ciliary diffusion;Sixty percent of normal;Full ventilatory stop;Sixty percent of normal;en;RESP_16;Respiratory Physiology;Légzés (Bloom 1);1
Hogyan definiáljuk a hypopnoét a légáramlás csökkenése alapján?;A szint visszaállása;Egyenlõ csillós diffúzió;A normál érték 60 százaléka;Teljes lélegeztetési leállás;A normál érték 60 százaléka;hu;RESP_16;Respiratory Physiology;Légzés (Bloom 1);1
Most effective CPAP use for what purpose?;Two high snoring inputs;Invasive upper airway pressure;Repaying upper repetitive obstruction;Lowering nocturnal pressure events;Repaying upper repetitive obstruction;en;RESP_17;Respiratory Physiology;Légzés (Bloom 1);1
Mire a leghatékonyabb a CPAP alkalmazása?;Túl erõs horkolás;Invazív felsõ légúti nyomás;Az ismétlõdõ felsõ légúti elzáródás megszüntetése;Az éjszakai nyomásesemények csökkentése;Az ismétlõdõ felsõ légúti elzáródás megszüntetése;hu;RESP_17;Respiratory Physiology;Légzés (Bloom 1);1
Obstructive sleep apnea events occur during what state?;Deep non-REM sleep;Light REM sleep stages;Wakeful relaxed periods;Upright postural breathing;Deep non-REM sleep;en;RESP_18;Respiratory Physiology;Légzés (Bloom 1);1
Melyik állapotban fordulnak elõ az obstruktív alvási apnoé eseményei?;Mély non-REM alvás;Könnyû REM alvási szakaszok;Éber, ellazult idõszakok;Álló helyzetû légzés;Mély non-REM alvás;hu;RESP_18;Respiratory Physiology;Légzés (Bloom 1);1
Primary event in central apnea syndrome?;Periodic brain stem events;Pharyngeal wall instability;Chronic upper occlusion;Vascular tone reduction;Periodic brain stem events;en;RESP_19;Respiratory Physiology;Légzés (Bloom 1);1
Mi az elsõdleges esemény a centrális apnoé szindrómában?;Periodikus agytörzsi események;A garatfal instabilitása;Krónikus felsõ elzáródás;Az érrendszeri tónus csökkenése;Periodikus agytörzsi események;hu;RESP_19;Respiratory Physiology;Légzés (Bloom 1);1
Consequence of failed upper airway dilation?;Central sleep fragmentation;Intimal pressure dysfunction;Situational hypertension;Autonomic neuropathy;Situational hypertension;en;RESP_20;Respiratory Physiology;Légzés (Bloom 1);1
Mi a következménye a felsõ légutak sikertelen tágulásának?;Centrális alvástöredezettség;Intimális nyomásdiszfunkció;Szituációs hipertónia;Autonóm neuropathia;Szituációs hipertónia;hu;RESP_20;Respiratory Physiology;Légzés (Bloom 1);1
Alveolar hypoventilation leads to increased what?;Paco2 levels;Pao2 saturation;Tidal volume expansion;Minute ventilation rate;Paco2 levels;en;RESP_21;Respiratory Physiology;Légzés (Bloom 1);1
Mire vezet az alveoláris hypoventiláció?;Emelkedett PaCO2 szintek;Emelkedett PaO2 szaturáció;Légzési volumen tágulása;Percventilációs ráta növekedése;Emelkedett PaCO2 szintek;hu;RESP_21;Respiratory Physiology;Légzés (Bloom 1);1
Obstructive events increase risk for what?;Pulmonary thromboembolism;Systemic thromboembolism;Cardiac conduction block;Peripheral artery disease;Systemic thromboembolism;en;RESP_22;Respiratory Physiology;Légzés (Bloom 1);1
Minek a kockázatát növelik az obstruktív események?;Tüdõembólia;Szisztémás tromboembólia;Szívvezetési blokk;Perifériás artériás betegség;Szisztémás tromboembólia;hu;RESP_22;Respiratory Physiology;Légzés (Bloom 1);1
Fig 3.4 shows what in small airway units?;Ventilation-perfusion inequality;Capillary endothelial diffusion;Bronchial smooth muscle tone;Mucociliary clearance defect;Ventilation-perfusion inequality;en;RESP_23;Respiratory Physiology;Légzés (Bloom 1);1
Mit mutat a 3.4 ábra a kis légúti egységekben?;Ventiláció-perfúzió egyenlõtlenség;Kapilláris endothelialis diffúzió;Bronchiális simaizomtónus;Mucociliáris clearance defektus;Ventiláció-perfúzió egyenlõtlenség;hu;RESP_23;Respiratory Physiology;Légzés (Bloom 1);1
Global V/Q insufficiency labeled as what?;High V/Q border;Shunt pathway region;Low V/Q border;Dead space compartment;Low V/Q border;en;RESP_24;Respiratory Physiology;Légzés (Bloom 1);1
